Editing,,,,
ctrl-Space,Basic code completion,,,
alt-Enter,Show intention actions and quick-fixes,,,
ctrl-P,Parameter info,,,
ctrl-Q,Quick documentation lookup,,,
alt-Insert,Generate code...,,,
ctrl-alt-T,"Surround with... (if..else, try..catch, for, etc.)",,,
ctrl-J,Insert Live template,,,
ctrl-/,Comment/uncomment with line comment,,,
ctrl-shift-/,Comment/uncomment with block comment,,,
ctrl-W,Extend/shrink syntax-aware selection,,,
alt-click,Add or remove caret,,,
shift-ctrl-alt-J,Select all occurrences,,,
alt-j/alt-shift-J,Select next/unselect occurrence,,,
Esc,Unselect all occurrences or carets,,,
ctrl-D,Duplicate current line or selected block,,,
ctrl-Y,Delete line,,,
alt-shift-up/alt-shift-down,Move line up/down,,,
ctrl-shift-J,Join lines,,,
ctrl-Enter,Split line,,,
ctrl-backspace/ctrl-delete,Delete to word start/end,,,
ctrl-numpad+/ctrl-numpad-,Expand/collapse code block,,,
ctrl-shift-numpad+/ctrl-shift-numpad-,Expand/collapse all,,,
ctrl-alt-L,Reformat code,,,
ctrl-alt-I,Auto-indent line(s),,,
ctrl-F4,Close active editor tab,,,
,,,,
Refactoring,,,,
ctrl-alt-shift-T,Refactor this,,,
shift-F6,Rename,,,
alt-delete,Safe delete,,,
ctrl-alt-N,Inline variable,,,
ctrl-alt-M/V/P/C,Extract Method/Variable/Parameter/Constant,,,
,,,,
General,,,,
Double-shift,Search everywhere,,,
ctrl-shift-A,Find action,,,
alt-0...9,Open corresponding tool window,,,
ctrl-alt-S,Open Preferences,,,
,,,,
Navigation,,,,
"ctrl-B, ctrl-click",Go to declaration,,,
ctrl-N,Go to class,,,
ctrl-shift-N,Go to file,,,
ctrl-alt-shift-N,Go to symbol,,,
ctrl-G,Go to line,,,
ctrl-shift-B,Go to type declaration,,,
ctrl-U,Go to super-method/super-class,,,
ctrl-E,View recent files,,,
alt-Home,Jump to navigation bar,,,
Esc,Jump to editor (from tool window),,,
alt-left/alt-right,Go to previous/next editor tab,,,
ctrl-shift-I,Quick definition,,,
ctrl-[/ctrl-],Move caret to code block start/end,,,
ctrl-shift-M,Move caret to matching brace,,,
ctrl-shift-backspace,Navigate to last edit location,,,
shift-F2/F2,Navigate to previous/next highlighted error,,,
,,,,
,,,,
ctrl-F/ctrl-shift-F,Find/Find in path,,,
alt-F7/ctrl-F7,Find usages/Find usages in file,,,
ctrl-alt-F7,Show usages,,,
,,,,
Running and debugging,,,,
shift-F10/shift-F9,Run/Debug,,,
alt-shift-F10/alt-shift-F9,Select configuration and run/debug,,,
alt-shift-R,Rerun tests,,,
alt-F11,Run Gulp/Grunt/npm task,,,
F8/F7,Step over/Step into,,,
shift-F8,Step out,,,
alt-F8,Evaluate expression,,,
F9,Resume,,,
ctrl-F8,Toggle breakpoint,,,
,,,,
VCS and Local history,,,,
alt-backquote,VCS operations popup,,,
ctrl-K,Commit to VCS,,,
ctrl-T,Update project,,,
alt-shift-C,View recent changes,,,
